hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
NO_STRUCTURAL_CHANGE,2,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.11849145379360697,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
WORLD_SHIFT,2,0.95,1000,0.858,0.8349940829788968,0.8782659579454458,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.645448744651026,0.7836532613653642,0.13490975599951766,0.7836532613653642,0.7836532613653642,0.7836532613653642,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
SENSOR_CORRUPTION,2,0.95,1000,0.787,0.7605503974702781,0.8112530431590133,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6933194274877885,0.8323062629251259,0.08626083320662917,0.8323062629251259,0.8323062629251259,0.8323062629251259,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
MISSING_LATENT_VARIABLE,2,0.95,1000,0.76,0.7325666107750539,0.7854434748124575,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6787100902090458,0.8287313582827511,0.12757146115250118,0.8287313582827511,0.8287313582827511,0.8287313582827511,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
NO_STRUCTURAL_CHANGE,3,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2.119,2.0,0.3237885112229895,0.1237176402916171,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0.883,0.117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9452571967909391,0.05474280320906088,0,2.003,0.116
WORLD_SHIFT,3,0.8,1000,0.777,0.7501681060278989,0.8017118697711036,0.69,0.6606534768407168,0.7178923549347722,2.858,3.0,0.34905013966477655,0.7491737500893226,0.9676550938319688,0.13490975599951766,0.4683501025691121,0.9676550938319688,0.9676550938319688,0.832,0.168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6864940517844647,0.31350594821553535,0,1.962,0.896
SENSOR_CORRUPTION,3,0.8,1000,0.871,0.8487959904982232,0.890364554705495,0.787,0.7605503974702781,0.8112530431590133,2.192,2.0,0.3938730760029175,0.7385318607918582,0.8323062629251259,0.2771623635164513,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.819,0.181,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9470802919708029,0.05291970802919708,0,2.076,0.116
MISSING_LATENT_VARIABLE,3,0.8,1000,0.88,0.8583909241522872,0.8987007393986909,0.76,0.7325666107750539,0.7854434748124575,2.234,2.0,0.42337217669563504,0.7211322257609573,0.8287313582827511,0.4098964312758006,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.782,0.218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5989256938227395,0.40107430617726053,0,1.338,0.896
NO_STRUCTURAL_CHANGE,3,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.3031203517562162,0.4290696381161609,0.01853177788317706,0.11983724857976356,0.4290696381161609,0.4290696381161609,0.202,0.798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.699,0.301,0,2.097,0.903
WORLD_SHIFT,3,0.9,1000,0.897,0.8766163637675564,0.9143451899949129,0.69,0.6606534768407168,0.7178923549347722,3,3.0,0.0,0.7986819166319322,0.9676550938319688,0.3048621119226165,0.5629411296589867,0.9676550938319688,0.9676550938319688,0.711,0.289,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6993333333333334,0.3006666666666667,0,2.098,0.902
SENSOR_CORRUPTION,3,0.9,1000,0.871,0.8487959904982232,0.890364554705495,0.647,0.6168686714441486,0.6760062615610983,3,3.0,0.0,0.7746171783730628,0.9542906546822937,0.2771623635164513,0.5260023138367552,0.9542906546822937,0.9542906546822937,0.678,0.322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.699,0.301,0,2.097,0.903
MISSING_LATENT_VARIABLE,3,0.9,1000,0.797,0.7709550842197117,0.8207718212398687,0.677,0.6473872202713616,0.705258107224752,3,3.0,0.0,0.7627303346253177,0.9402180853004488,0.4098964312758006,0.4683501025691121,0.9402180853004488,0.9402180853004488,0.693,0.307,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6993333333333334,0.3006666666666667,0,2.098,0.902
NO_STRUCTURAL_CHANGE,3,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.3031203517562162,0.4290696381161609,0.01853177788317706,0.11983724857976356,0.4290696381161609,0.4290696381161609,0.118,0.882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.699,0.301,0,2.097,0.903
WORLD_SHIFT,3,0.95,1000,0.897,0.8766163637675564,0.9143451899949129,0.69,0.6606534768407168,0.7178923549347722,3,3.0,0.0,0.7986819166319322,0.9676550938319688,0.3048621119226165,0.5629411296589867,0.9676550938319688,0.9676550938319688,0.695,0.305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6993333333333334,0.3006666666666667,0,2.098,0.902
SENSOR_CORRUPTION,3,0.95,1000,0.871,0.8487959904982232,0.890364554705495,0.647,0.6168686714441486,0.6760062615610983,3,3.0,0.0,0.7746171783730628,0.9542906546822937,0.2771623635164513,0.5260023138367552,0.9542906546822937,0.9542906546822937,0.658,0.342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.699,0.301,0,2.097,0.903
MISSING_LATENT_VARIABLE,3,0.95,1000,0.797,0.7709550842197117,0.8207718212398687,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.7627303346253177,0.9402180853004488,0.4098964312758006,0.4683501025691121,0.9402180853004488,0.9402180853004488,0.016,0.984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6993333333333334,0.3006666666666667,0,2.098,0.902
NO_STRUCTURAL_CHANGE,5,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2.266,2.0,0.7411099783432955,0.1252201411424186,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0.984,0.016,0.0,0.0,0.0,0.0,1.0,0.0,0.0088261253309797,0.9342453662842012,0.05692850838481906,0.02,2.117,0.129
WORLD_SHIFT,5,0.8,1000,0.817,0.7918366762890631,0.839737158831095,0.807,0.781383383844143,0.8302669864457263,3.175,3.0,0.8522763636286061,0.8114509357692917,0.9676550938319688,0.13490975599951766,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.97,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.002204724409448819,0.6881889763779527,0.3096062992125984,0.007,2.185,0.983
SENSOR_CORRUPTION,5,0.8,1000,0.933,0.9157879467581331,0.9468980803933762,0.861,0.8381734694242182,0.8810636109492109,2.477,2.0,1.013642441889644,0.7746214030265994,0.8323062629251259,0.7157450500678579,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.909,0.091,0.0,0.0,0.0,0.0,1.0,0.0,0.03068227694792087,0.9172385950746871,0.052079127977392004,0.076,2.272,0.129
MISSING_LATENT_VARIABLE,5,0.8,1000,0.945,0.9290916123226243,0.9575025726252315,0.922,0.9037173834289277,0.9370528324092638,2.598,2.0,1.1226735945946178,0.7837917787295711,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.949,0.051,0.0,0.0,0.0,0.0,1.0,0.0,0.041185527328714396,0.5804464973056197,0.3783679753656659,0.107,1.508,0.983
NO_STRUCTURAL_CHANGE,5,0.9,1000,0.493,0.46209940740448396,0.5239541672143138,0.493,0.46209940740448396,0.5239541672143138,4.596,5.0,0.8029844332239573,0.5541586459687023,0.4290696381161609,0.01853177788317706,0.02781691973791338,0.935670669208673,0.935670669208673,0.741,0.259,0.0,0.0,0.0,0.0,1.0,0.0,0.17406440382941687,0.48825065274151436,0.33768494342906874,0.8,2.244,1.552
WORLD_SHIFT,5,0.9,1000,0.947,0.9313253831625082,0.9592534947514054,0.91,0.8906582073569279,0.926203850684917,3.475,3.0,0.7882734297183941,0.900365205903037,0.9676550938319688,0.9140753345631457,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.941,0.059,0.0,0.0,0.0,0.0,1.0,0.0,0.002589928057553957,0.7128057553956835,0.2846043165467626,0.009,2.477,0.989
SENSOR_CORRUPTION,5,0.9,1000,0.93,0.9124853518487167,0.9442236358537061,0.816,0.7907901792135869,0.8387913094235423,3.644,3.0,0.9344859549506349,0.8606967031496132,0.9542906546822937,0.5763456240587699,0.9542906546822937,0.9542906546822937,0.9623973145207595,0.856,0.144,0.0,0.0,0.0,0.0,1.0,0.0,0.0946761800219539,0.6306256860592755,0.27469813391877057,0.345,2.298,1.001
MISSING_LATENT_VARIABLE,5,0.9,1000,0.924,0.9059043568759517,0.9388505519282977,0.811,0.7855616182967687,0.8340581379252162,3.608,3.0,0.9166984236923286,0.864083187793285,0.9402180853004488,0.8504161618094119,0.9402180853004488,0.9402180853004488,0.9402180853004488,0.841,0.159,0.0,0.0,0.0,0.0,1.0,0.0,0.03131929046563193,0.6929046563192904,0.2757760532150776,0.113,2.5,0.995
